Example of what Bundles the MCU sends to Radio APP.
01-01 14:02:46.589 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96650000; }Bundle
01-01 14:02:46.594 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:46.709 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96700000; }Bundle
01-01 14:02:46.714 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:46.830 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96750000; }Bundle
01-01 14:02:46.836 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:46.949 D/radioDataBundle( 2359): Bundle{ type => freq; value => 96800000; }Bundle
01-01 14:02:46.954 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:47.070 D/radioDataBundle( 2359): Bundle{ type => seek_found; strength => 21; }Bundle
01-01 14:02:47.073 D/radioDataBundle( 2359): Bundle{ type => seek_end; }Bundle
01-01 14:02:47.088 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:47.164 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 1; }Bundle
01-01 14:02:47.607 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:47.868 D/radioDataBundle( 2359): Bundle{ type => tp; value => 1; }Bundle
01-01 14:02:48.127 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:48.131 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:02:48.667 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:48.753 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@1e7bd98; }Bundle
01-01 14:02:49.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:49.193 D/radioDataBundle( 2359): Bundle{ type => psn; value => [B@70039f1; }Bundle
01-01 14:02:49.627 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:50.147 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:50.587 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:51.107 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:51.553 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@e2649d6; }Bundle
01-01 14:02:51.627 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:52.167 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:52.607 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:53.127 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
